name;12 MacBook (Mid 2017, Gold) CPE;12 MacBook (Mid 2017, Silver) CPE;12.3 32GB Multi-Touch 2-in-1 Chromebook Plus CPE;13.3 MacBook Air (Mid 2017, Silver) CPE;15.4 MacBook Pro with Touch Bar (Late 2016, Silver) CPE;15.4 MacBook Pro with Touch Bar (Late 2016, Space Gray) CPE;ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703X CPE;"Acer - 2-in-1 15.6 Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 1TB Hard Drive - Steel gray"" CPE";Acer 15.6 Chromebook CB5-571-C4G4 CPE;"Alienware - R3 17.3 Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 256GB Solid State Drive - Epic Silver"" CPE";"Apple - MacBook ProÂ® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Silver"" CPE";"Apple - MacBook ProÂ® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Space Gray"" CPE";"Apple - MacBook ProÂ® - 13 Display - Intel Core i5 - 8 GB Memory - 512GB Flash Storage (Latest Model) - Silver"" CPE";"Apple 13.3 MacBook Air ( Silver)"" CPE";"Apple MacBook - 12 - Core m5 - 8 GB RAM - 512 GB flash storage - English"" CPE";"Apple MacBook Pro MLUQ2LL/A 13.3 Notebook - Intel Core i5 Dual-core (2 Core) 2 GHz - 8 GB LPDDR3 - 256 GB SSD - Mac OS X 10.12 Sierra - 2560 x 1600 - In-plane Switching (IPS) Technology - Silver"" CPE";"Apple MacBook Pro with Touch Bar - 13.3 - Core i5 - 8 GB RAM - 512 GB SSD - English"" CPE";"Asus - 2-in-1 15.6 4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory NVIDIA GeForce GTX 950M - 2TB HDD + 512GB SSD - Sandblasted matte black aluminum"" CPE";"Dell - Inspiron 15.6 Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Red"" CPE";"Dell - XPS 2-in-1 13.3 Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive - Silver"" CPE";"Dell XPS 15 15.6 4K Touchcreen Laptop Intel i7-6700HQ 16GB 1TB SSD GTX 960M"" CPE";"Details About Alienware 13 R3 Aw13r3/13.3 Fhd/i77700hq/nvidia Gtx 1060/16gb/512gb Ssd"" CPE";"Details About Alienware 15 R3 Aw15r3/15.6 Fhd/i77700hq/nvidia Gtx1070/16gb/1tb Hdd+128gb Ssd"" CPE";"Details About Apple Macbook Air 13.3 Laptop (early 2015) 2.2ghz Core I7 8gb 256gb"" CPE";"Details About Asus Q304 13.3 Laptop I5 2.5 Ghz 6gb 1tb Hdd Win 10 (q304uabhi5t11)"" CPE";"Details About Dell Inspiron I75675650blkpus 15.6 Laptop I57300hq"" CPE";"Details About Openbox Excellent: Asus Rog Gl502vm 15.6 Laptop Intel Core I7 12gb Me..."" CPE";"Details About Razer Blade Laptop 14 Full Hd (i77700hq"" CPE";"Ginsu BESTBUY5580020 Lenovo Ideapad 11.6 Laptop"" CPE";"HP - ProBook 14 Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black"" CPE";"HP 15-AY103DX 15.6 Touchscreen Touch Screen HD Laptop Notebook PC Computer 7th Gen i5-7200U Kaby Lake 8GB Memory 1TB HDD Hard Drive Windows 10"" CPE";"Lenovo - 100S-14IBR 14 Laptop - Intel Celeron - 2GB Memory - 32GB eMMC Flash Memory - Navy blue"" CPE";"Lenovo - Yoga 710 2-in-1 11.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Silver Tablet PC Notebook 80V6000PUS"" CPE";Lenovo 80TX0007US Y 710-11ISK 11.6-Inch FHD Touch Laptop (Pentium 4405Y, 4 GB Ram, 128 GB SSD, Windows 10), SilverNotebook PC Computer Tablet Touchscreen Screen 2-in-1 CPE;"Lenovo Flex 4 1470 80SA0000US 2-in-1 - 14 HD Touch - Pentium 4405U 2.1Ghz - 4GB - 500GB"" CPE";"MSI - WS Series 15.6 Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive + 2TB Hard Drive - Aluminum Black"" CPE";"New Asus Q524u 15.6fhd 2in1 Touch I77500u 3.5ghz 16gb Ddr4 2tb Hd 940mx2gb W10"" CPE";"Razer - Blade Pro 17.3 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1080 - 1TB SSD - Black"" CPE";"Samsung - Notebook 5 15.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce 920MX - 1TB Hard Drive - Solid black"" CPE"
12 MacBook (Mid 2017, Gold);0;0;-31.41;0;-18.98;0;0;0;0;0;0;0;0;0;-9.04;0;-11.97;-21.76;0;0;6.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12 MacBook (Mid 2017, Silver);0;-65.03;-18.16;0;-15.59;0;0;0;0;0;0;0;0;0;-9.04;0;-13.81;0;0;0;4.57;0;-21.23;-34.75;0;0;-19.16;0;0;0;0;0;0;0;0;0;0;0;0
12.3 32GB Multi-Touch 2-in-1 Chromebook Plus;0;0;0;0;0;0;0;0;-7.45;0;0;0;0;-3.3;5.02;-3.42;7.67;0;0;0;0;9.39;0;0;4.83;0;0;0;-4.76;-121.49;0;0;0;0;0;0;0;0;0
13.3 MacBook Air (Mid 2017, Silver);0;-106.14;-35.45;0;-21.69;0;-24.78;0;-15.89;0;0;0;0;0;0;0;0;0;0;0;0;0;-35.99;-53.78;0;0;0;0;0;0;0;0;-13.95;0;20.25;0;0;0;0
15.4 MacBook Pro with Touch Bar (Late 2016, Silver);0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.88;0;11.66;0;0;0;0;0;0;0;0;0;0;0;-7.22;0;0;-8.21;0;0;0;0;0;0;0
15.4 MacBook Pro with Touch Bar (Late 2016, Space Gray);0;0;0;0;0;0;-9.63;0;0;0;0;0;0;0;6.91;0;9.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703X;0;-68.59;-24.17;0;0;0;-16.03;0;0;0;-31.77;0;0;0;-7.45;0;-11.83;0;0;0;0;0;-25.05;0;0;0;0;0;0;0;0;0;-10.19;0;12.68;0;0;0;0
"Acer - 2-in-1 15.6 Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 1TB Hard Drive - Steel gray""";0;0;0;0;0;13.42;0;0;0;0;0;0;0;-5.18;9.74;0;16.57;0;0;0;-5.82;13.75;25.84;0;10.18;0;0;0;-11.51;-178.92;0;-8.89;10.66;0;0;0;0;0;0
Acer 15.6 Chromebook CB5-571-C4G4;0;0;0;0;0;0;0;21.25;-8.45;-19.06;0;0;0;-5.89;5.56;-6.21;10.12;0;0;-5.48;-4.78;12.25;0;0;6.79;0;15.86;0;-6.72;-178.92;0;0;0;0;0;0;0;0;0
"Alienware - R3 17.3 Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 256GB Solid State Drive - Epic Silver""";0;0;0;0;0;0;-8.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-31.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Apple - MacBook ProÂ® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Silver""";0;-68.59;-25.9;0;-18.88;0;-16.03;0;0;0;0;0;0;0;-7.2;0;-12.16;-19.2;0;0;4.9;0;-21.42;-45.06;-5.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Apple - MacBook ProÂ® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Space Gray""";0;-65.42;-24.86;0;-18.23;0;-15.29;0;0;0;0;0;0;0;-6.95;0;-11.58;-18.65;0;0;4.73;0;-21.8;-43.01;-5.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Apple - MacBook ProÂ® - 13 Display - Intel Core i5 - 8 GB Memory - 512GB Flash Storage (Latest Model) - Silver""";0;0;-27.08;0;-22.84;0;-15.38;0;0;0;0;0;0;0;0;0;-11.63;0;0;0;6.56;0;0;-46.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Apple 13.3 MacBook Air ( Silver)""";0;0;0;0;0;11.39;0;0;0;0;0;0;0;0;9.16;0;15.49;0;0;0;0;0;19.84;0;8.01;0;0;0;-9.54;0;0;-8.58;0;0;0;0;0;0;0
"Apple MacBook - 12 - Core m5 - 8 GB RAM - 512 GB flash storage - English""";0;0;0;0;0;7.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.69;15.74;0;0;-4.68;0;0;-6.89;0;0;0;0;4.63;0;0
"Apple MacBook Pro MLUQ2LL/A 13.3 Notebook - Intel Core i5 Dual-core (2 Core) 2 GHz - 8 GB LPDDR3 - 256 GB SSD - Mac OS X 10.12 Sierra - 2560 x 1600 - In-plane Switching (IPS) Technology - Silver""";0;0;0;0;0;14.24;0;0;0;-17.1;0;0;0;-6.07;9.85;-6.01;17.39;0;0;-5.29;-6.47;15.04;26.66;0;11.62;0;19.62;0;-11.3;-203.53;0;-7.27;13.24;0;0;0;0;0;0
"Apple MacBook Pro with Touch Bar - 13.3 - Core i5 - 8 GB RAM - 512 GB SSD - English""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.03;0;0;0;0;0;0;0
"Asus - 2-in-1 15.6 4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory NVIDIA GeForce GTX 950M - 2TB HDD + 512GB SSD - Sandblasted matte black aluminum""";0;0;-18.5;0;0;-12.54;0;-20.0;0;0;0;0;0;0;0;0;0;0;-33.92;0;0;0;-19.74;0;-6.86;0;0;0;0;0;0;0;-13.33;0;0;0;0;0;0
"Dell - Inspiron 15.6 Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Red""";0;-37.56;-12.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-23.22;0;0;0;0;-23.12;0;0;0;0;0;0;0;0;-7.05;0;0;0;0;0;0
"Dell - XPS 2-in-1 13.3 Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive - Silver""";0;0;0;0;0;0;-7.19;0;-8.25;0;0;0;0;0;4.57;0;6.31;0;0;0;0;0;0;0;0;0;0;0;0;-83.98;0;-4.24;0;0;0;0;0;0;0
"Dell XPS 15 15.6 4K Touchcreen Laptop Intel i7-6700HQ 16GB 1TB SSD GTX 960M""";0;0;0;0;0;0;0;0;0;0;0;0;0;-6.57;0;-6.14;14.79;0;0;-4.95;0;0;21.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Details About Alienware 13 R3 Aw13r3/13.3 Fhd/i77700hq/nvidia Gtx 1060/16gb/512gb Ssd""";0;0;0;0;-11.3;0;-10.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-30.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Details About Alienware 15 R3 Aw15r3/15.6 Fhd/i77700hq/nvidia Gtx1070/16gb/1tb Hdd+128gb Ssd""";0;0;0;0;0;0;-9.38;0;-9.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-24.61;0;0;0;0;0;0;0;0;0;0;0;0;-4.55;0;0
"Details About Apple Macbook Air 13.3 Laptop (early 2015) 2.2ghz Core I7 8gb 256gb""";0;0;-23.1;0;-21.69;0;-21.43;0;0;0;0;41.47;0;0;0;0;0;0;0;0;0;0;0;-68.25;0;0;0;0;8.0;0;0;0;0;0;0;0;-8.37;0;0
"Details About Asus Q304 13.3 Laptop I5 2.5 Ghz 6gb 1tb Hdd Win 10 (q304uabhi5t11)""";0;0;0;0;0;0;0;0;-6.93;-13.03;0;0;0;-2.97;5.45;-2.97;8.44;0;0;-3.37;0;0;0;0;0;0;11.17;0;0;-105.08;0;0;0;0;0;0;0;0;0
"Details About Dell Inspiron I75675650blkpus 15.6 Laptop I57300hq""";0;0;-20.95;0;-19.91;0;-22.75;0;-14.46;0;0;0;0;0;0;0;0;0;0;0;0;0;-21.63;-60.24;-6.62;0;0;0;0;0;0;0;-14.99;0;15.56;0;-8.4;0;0
"Details About Openbox Excellent: Asus Rog Gl502vm 15.6 Laptop Intel Core I7 12gb Me...""";0;0;0;0;0;0;0;0;-6.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.62;0;0;0;0;0;0;0
"Details About Razer Blade Laptop 14 Full Hd (i77700hq""";0;0;0;0;0;0;0;0;-8.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ginsu BESTBUY5580020 Lenovo Ideapad 11.6 Laptop""";0;0;0;0;0;0;0;0;0;0;0;0;0;-2.45;3.17;-2.43;5.01;0;0;-2.46;0;0;0;0;3.23;0;0;0;0;-87.7;0;0;0;0;0;0;0;0;0
"HP - ProBook 14 Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HP 15-AY103DX 15.6 Touchscreen Touch Screen HD Laptop Notebook PC Computer 7th Gen i5-7200U Kaby Lake 8GB Memory 1TB HDD Hard Drive Windows 10""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.11;0;12.02;0;0;0;0;0;0;0;0;0;0;0;-7.3;0;0;-8.96;0;0;0;0;0;0;0
"Lenovo - 100S-14IBR 14 Laptop - Intel Celeron - 2GB Memory - 32GB eMMC Flash Memory - Navy blue""";0;0;0;0;0;0;0;0;-6.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6.04;0;0;8.85;0;0;0;0
"Lenovo - Yoga 710 2-in-1 11.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Silver Tablet PC Notebook 80V6000PUS""";0;0;0;0;0;0;0;0;-6.93;-13.03;0;0;0;-2.97;5.45;-2.97;8.13;0;0;-3.37;0;0;0;0;3.67;0;11.77;0;0;-105.08;0;0;0;0;0;0;0;0;0
Lenovo 80TX0007US Y 710-11ISK 11.6-Inch FHD Touch Laptop (Pentium 4405Y, 4 GB Ram, 128 GB SSD, Windows 10), SilverNotebook PC Computer Tablet Touchscreen Screen 2-in-1;0;0;19.87;0;20.76;21.74;0;0;0;-20.16;0;0;0;-7.19;10.21;-7.16;23.59;0;0;-7.04;-7.54;16.65;29.71;0;12.56;0;27.69;0;-10.57;-234.3;0;0;17.05;0;0;0;0;0;0
"Lenovo Flex 4 1470 80SA0000US 2-in-1 - 14 HD Touch - Pentium 4405U 2.1Ghz - 4GB - 500GB""";0;0;0;0;0;0;0;0;0;0;0;0;0;-3.35;4.64;0;7.67;0;0;0;0;8.88;0;0;0;0;0;0;-4.54;-105.08;0;0;0;0;0;0;0;0;0
"MSI - WS Series 15.6 Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive + 2TB Hard Drive - Aluminum Black""";0;0;0;0;-9.94;0;0;-15.18;0;0;0;0;0;0;0;0;0;0;0;0;3.33;0;0;0;0;0;-14.77;0;0;0;0;0;0;0;0;0;0;0;0
"New Asus Q524u 15.6fhd 2in1 Touch I77500u 3.5ghz 16gb Ddr4 2tb Hd 940mx2gb W10""";0;0;0;0;0;0;0;0;0;-16.16;0;0;0;-3.65;7.89;0;12.04;0;0;0;-4.0;0;18.1;0;6.21;0;0;0;-7.31;-127.8;0;-5.6;0;0;0;0;0;0;0
"Razer - Blade Pro 17.3 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1080 - 1TB SSD - Black""";0;0;-14.75;0;0;0;0;-17.6;0;0;0;0;0;0;0;0;0;0;0;0;3.84;0;0;0;0;0;-14.04;0;0;0;0;0;0;0;0;0;0;0;0
"Samsung - Notebook 5 15.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce 920MX - 1TB Hard Drive - Solid black""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
name;12 MacBook (Mid 2017, Gold) CPE;12 MacBook (Mid 2017, Silver) CPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12 MacBook (Mid 2017, Gold);0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12 MacBook (Mid 2017, Silver);0;-65,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.3 32GB Multi-Touch 2-in-1 Chromebook Plus;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3 MacBook Air (Mid 2017, Silver);0;-106,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e;variação de q;variação de p;-65,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
epd;variaçõ de q outro produto;variação de p;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
